Time Sent,Campaign Name,Sends,Opens,Open Rate,Mobile Open Rate,Desktop Open Rate,Clicks,Click Rate,Bounces,Bounce Rate,Unsubscribes,Unsubscribe Rate
2024/10/30 5:01 PM,October 31 - November 6 Who's on Deck,114,68,61.8%,7.5%,92.5%,0,0.0%,4,3.5%,0,0.0%
2024/10/28 5:20 PM,10.28.24,7606,3331,45.9%,3.0%,97.0%,45,1.4%,346,4.5%,5,0.1%
2024/10/25 1:25 PM,10.25 closed reminder,7608,3140,43.2%,2.2%,97.8%,5,0.2%,347,4.6%,3,0.1%
2024/10/23 5:00 PM,October 24 - October 30 Who's on Deck,114,80,72.7%,9.4%,90.6%,0,0.0%,4,3.5%,0,0.0%
2024/10/21 5:50 PM,10.21.24,7614,3473,47.8%,2.4%,97.6%,22,0.6%,344,4.5%,5,0.1%
2024/10/21 5:30 PM,Work Schedule for November 2024,45,41,91.1%,29.1%,70.9%,32,78.0%,0,0.0%,0,0.0%
2024/10/17 3:35 PM,10.17.24,7618,3298,45.3%,2.2%,97.8%,36,1.1%,341,4.5%,5,0.1%
2024/10/16 5:00 PM,October 17 - October 23 Who's on Deck,114,77,70.0%,4.4%,95.6%,1,1.3%,4,3.5%,0,0.0%
2024/10/14 5:35 PM,10.14.24,7626,3405,46.7%,2.9%,97.1%,63,1.9%,341,4.5%,3,0.1%
2024/10/09 5:00 PM,October 10 - October 16 Who's on Deck,114,69,62.7%,4.0%,96.0%,0,0.0%,4,3.5%,0,0.0%
2024/10/07 5:10 PM,10.07.24,7619,3465,47.6%,3.5%,96.5%,62,1.8%,340,4.5%,3,0.1%
2024/10/02 5:00 PM,October 3 - October 9 Who's on Deck,114,76,69.1%,6.0%,94.0%,0,0.0%,4,3.5%,0,0.0%
