Time Sent,Campaign Name,Sends,Opens,Open Rate,Mobile Open Rate,Desktop Open Rate,Clicks,Click Rate,Bounces,Bounce Rate,Unsubscribes,Unsubscribe Rate
2024/09/30 5:05 PM,09.30.24,7623,3683,50.5%,2.7%,97.3%,69,1.9%,336,4.4%,5,0.1%
2024/09/30 4:30 PM,"Reminder: This Friday, October 2024 Swine and Dine!!!",176,116,67.1%,4.7%,95.3%,7,6.0%,3,1.7%,0,0.0%
2024/09/25 5:00 PM,September 26 - October 2 Who's on Deck,114,69,62.7%,8.3%,91.7%,0,0.0%,4,3.5%,0,0.0%
2024/09/23 6:10 PM,09.23.24,7626,3469,47.6%,3.5%,96.5%,71,2.0%,338,4.4%,4,0.1%
2024/09/23 5:30 PM,October 2024 Swine and Dine!!!,175,123,71.5%,10.7%,89.3%,17,13.8%,3,1.7%,0,0.0%
2024/09/23 2:35 PM,June 2024 Swine and Dine!!!,172,139,82.2%,9.3%,90.7%,18,12.9%,3,1.7%,0,0.0%
2024/09/21 5:00 PM,Work Schedule for October 2024,45,39,86.7%,34.6%,65.4%,29,74.4%,0,0.0%,0,0.0%
2024/09/20 11:45 AM,09.20.24 Festival,7630,3144,43.1%,2.2%,97.8%,31,1.0%,336,4.4%,5,0.1%
2024/09/18 1:30 PM,2019 Barrels ready for pick up,8,6,75.0%,15.4%,84.6%,0,0.0%,0,0.0%,0,0.0%
2024/09/17 5:00 PM,September 19 - September 25 Who's on Deck,114,78,70.9%,3.7%,96.3%,0,0.0%,4,3.5%,0,0.0%
2024/09/16 5:40 PM,09.16.24 Festival,7639,3307,45.3%,2.8%,97.2%,40,1.2%,338,4.4%,7,0.1%
2024/09/11 5:01 PM,September 12 - September 18 Who's on Deck,113,81,74.3%,4.8%,95.2%,0,0.0%,4,3.5%,0,0.0%
2024/09/10 1:10 PM,09.09.24,7640,3586,49.3%,3.2%,96.8%,73,2.0%,362,4.7%,3,0.1%
2024/09/06 6:30 PM,Reminder:  September2024 Swine and Dine,170,106,63.5%,6.9%,93.1%,9,8.5%,3,1.8%,0,0.0%
2024/09/04 5:00 PM,September 5 - September 11 Who's on Deck,113,77,70.6%,4.3%,95.7%,0,0.0%,4,3.5%,0,0.0%
2024/09/02 7:41 PM,2024 September Wine Club Q3 pick up,1121,929,88.2%,14.3%,85.7%,279,30.0%,68,6.1%,2,0.2%
2024/09/02 4:45 PM,09.02.24,7647,3940,53.9%,2.9%,97.1%,90,2.3%,343,4.5%,15,0.2%
2024/08/28 5:17 PM,August 29 - September 4 Who's on Deck w/Final Friday,51,38,77.6%,8.4%,91.6%,0,0.0%,2,3.9%,0,0.0%
2024/08/28 5:00 PM,August 29 - September 4 Who's on Deck,116,72,64.9%,7.4%,92.6%,0,0.0%,5,4.3%,1,0.9%
