Time Sent,Campaign Name,Sends,Opens,Open Rate,Mobile Open Rate,Desktop Open Rate,Clicks,Click Rate,Bounces,Bounce Rate,Unsubscribes,Unsubscribe Rate
2024/10/30 12:57 PM,Q4 2024 Wine Club pick up invitation2.0,1045,695,68.7%,9.4%,90.6%,88,12.7%,33,3.2%,1,0.1%
2024/10/24 3:57 PM,Q4 2024 Wine Club pick up invitation,1046,737,72.7%,10.7%,89.3%,151,20.5%,32,3.1%,1,0.1%
2024/10/23 7:42 PM,Who's On Deck - Oct 28 to Nov 3,46,34,77.3%,12.1%,87.9%,0,0.0%,2,4.3%,0,0.0%
2024/10/23 5:48 PM,Who's On Deck - Oct 28 to Nov 3rd,113,71,64.5%,6.2%,93.8%,0,0.0%,3,2.7%,0,0.0%
2024/10/23 5:01 PM,October news letter 1023,22595,8063,40.6%,1.9%,98.1%,98,1.2%,2733,12.1%,12,0.1%
2024/10/18 8:42 AM,Who's On Deck - Oct 21 to Oct 27th,113,75,68.2%,3.7%,96.3%,0,0.0%,3,2.7%,0,0.0%
2024/10/17 4:06 PM,October news letter 1017,22628,7654,38.5%,1.8%,98.2%,102,1.3%,2729,12.1%,15,0.1%
2024/10/10 3:35 PM,october news letter,22636,7664,38.5%,2.1%,97.9%,115,1.5%,2725,12.0%,12,0.1%
2024/10/09 5:33 PM,Who's On Deck - Oct 14th to Oct 20th,113,79,71.8%,3.2%,96.8%,0,0.0%,3,2.7%,0,0.0%
2024/10/05 10:07 AM,Who's On Deck - Oct 7th to Oct 13th,112,78,71.6%,2.6%,97.4%,0,0.0%,3,2.7%,0,0.0%
2024/10/05 9:22 AM,"Untitled Campaign Created 2024/10/05, 9:05:07 AM",22662,7863,39.5%,1.4%,98.6%,74,0.9%,2747,12.1%,12,0.1%
2024/10/01 2:46 PM,September news9.253.0,22680,7657,38.4%,1.7%,98.3%,104,1.4%,2729,12.0%,12,0.1%
