Time Sent,Campaign Name,Sends,Opens,Open Rate,Mobile Open Rate,Desktop Open Rate,Clicks,Click Rate,Bounces,Bounce Rate,Unsubscribes,Unsubscribe Rate
2024/09/27 3:25 PM,Who's On Deck - Sept 30th to Oct 6th,112,73,67.0%,6.2%,93.8%,0,0.0%,3,2.7%,0,0.0%
2024/09/26 3:25 PM,September news9.252.0,22699,7986,39.9%,1.4%,98.6%,253,3.2%,2701,11.9%,12,0.1%
2024/09/26 1:50 PM,September news9.25,22711,7916,39.6%,1.1%,98.9%,244,3.1%,2698,11.9%,11,0.1%
2024/09/18 5:18 PM,Who's On Deck - Sept 23rd to 29th,112,74,67.9%,5.1%,94.9%,0,0.0%,3,2.7%,0,0.0%
2024/09/12 4:20 PM,Who's On Deck - Sept 16th to 22nd,112,75,68.8%,4.1%,95.9%,0,0.0%,3,2.7%,0,0.0%
2024/09/12 1:06 PM,September news9.12,22726,7696,38.4%,1.8%,98.2%,80,1.0%,2699,11.9%,20,0.1%
2024/09/05 2:35 PM,September news,22758,7879,39.3%,2.0%,98.0%,138,1.8%,2711,11.9%,26,0.1%
2024/09/04 4:13 PM,Who's On Deck - September 9th to 15th,97,66,70.2%,4.4%,95.6%,0,0.0%,3,3.1%,0,0.0%
2024/08/30 3:22 PM,Barrel Owner Party Sept 2024,253,204,82.6%,12.0%,88.0%,58,28.4%,6,2.4%,0,0.0%
2024/08/29 11:58 AM,Who's On Deck - Sept 2nd to 8th,97,58,62.4%,9.0%,91.0%,0,0.0%,4,4.1%,0,0.0%
2024/08/29 11:23 AM,Labor Day 2024 newsletter,22781,7197,35.9%,1.8%,98.2%,72,1.0%,2719,11.9%,29,0.1%
2024/08/25 3:58 PM,2023 Futures pick up reminder,110,87,82.1%,6.6%,93.4%,0,0.0%,4,3.6%,0,0.0%
2024/08/23 10:11 AM,Who's On Deck - Aug 26th - Sept 1st,44,33,76.7%,7.2%,92.8%,0,0.0%,1,2.3%,0,0.0%
2024/08/21 5:18 PM,Who's On Deck - August 26th - Sept 1st,99,64,66.7%,5.9%,94.1%,0,0.0%,3,3.0%,1,1.0%
2024/08/15 3:08 PM,Who's On Deck - August 19th to 25th,100,68,70.1%,4.2%,95.8%,0,0.0%,3,3.0%,1,1.0%
2024/08/14 2:22 PM,Q3 2024 Wine Club pick up invitation3.0,1041,701,69.5%,7.5%,92.5%,63,9.0%,33,3.2%,0,0.0%
2024/08/09 12:58 PM,Who's On Deck - August 12th to 18th,100,69,71.1%,7.3%,92.7%,0,0.0%,3,3.0%,0,0.0%
2024/08/09 12:21 PM,2023 Futures are ready.,110,85,80.2%,5.4%,94.6%,0,0.0%,4,3.6%,0,0.0%
2024/08/01 12:09 PM,Who's On Deck - August 5th to 11th,100,60,61.9%,7.0%,93.0%,0,0.0%,3,3.0%,0,0.0%
2024/07/31 11:23 AM,Q3 2024 Wine Club pick up invitation2.0,1046,745,73.5%,9.5%,90.5%,115,15.4%,33,3.2%,0,0.0%
2024/07/25 12:39 PM,Q3 2024 Wine Club pick up invitation,1093,696,65.7%,9.5%,90.5%,139,20.0%,33,3.0%,1,0.1%
2024/07/24 5:59 PM,Who's On Deck - July 29th to August 4th,101,64,65.3%,6.6%,93.4%,0,0.0%,3,3.0%,1,1.0%
2024/07/24 12:50 PM,July 24 2024 newsletter,22814,6548,32.5%,1.9%,98.1%,55,0.8%,2666,11.7%,21,0.1%
2024/07/19 12:19 PM,Who's On Deck - July 22nd  to July 28th,101,68,69.4%,4.9%,95.1%,1,1.5%,3,3.0%,0,0.0%
